"Framework","Reference1","Recommendation1","Reference2","Recommendation2","Similarity"
"ESRS E1","ESRS E1 Metrics and Targets 33","For the disclosure required by paragraph 30, the undertaking shall disclose whether and how it has set GHG emissions reduction targets and/or any other targets to manage material climate-related impacts, risks and opportunities, for example, renewable energy deployment, energy efficiency, climate change adaptation, and physical or transition risk mitigation.","ESRS E1 Metrics and Targets 30","The undertaking shall disclose the climate-related targets it has set.",0.364237304313563
"ESRS E4","ESRS E4 Metrics and Targets 29","The undertaking shall disclose the biodiversity and ecosystem-related targets it has set.","ESRS E1 Metrics and Targets 30","The undertaking shall disclose the climate-related targets it has set.",0.600458498879657
"ESRS E4","ESRS E4 Metrics and Targets 31","The description of the targets shall follow the mandatory content defined in ESRS 2 MDR-T Tracking effectiveness of policies and actions through targets.","ESRS E1 Metrics and Targets 32","The disclosure of the targets required in paragraph 30 shall contain the information required in ESRS 2 MDR-T Tracking effectiveness of policies and actions through targets.",0.58447910120411
"ESRS E1","ESRS E1 Metrics and Targets 30","The undertaking shall disclose the climate-related targets it has set.","ESRS E1 Metrics and Targets 33","For the disclosure required by paragraph 30, the undertaking shall disclose whether and how it has set GHG emissions reduction targets and/or any other targets to manage material climate-related impacts, risks and opportunities, for example, renewable energy deployment, energy efficiency, climate change adaptation, and physical or transition risk mitigation.",0.364237304313563
"ESRS E1","ESRS E1 Metrics and Targets 34","If the undertaking has set GHG emission reduction targets, ESRS 2 MDR-T and the following requirements shall apply:
(a) GHG emission reduction targets shall be disclosed in absolute value (either in tonnes of CO2eq or as a percentage of the emissions of a base year) and, where relevant, in intensity value;
(b) GHG emission reduction targets shall be disclosed for Scope 1, 2, and 3 GHG emissions, either separately or combined. The undertaking shall specify, in case of combined GHG emission reduction targets, which GHG emission Scopes (1, 2 and/or 3) are covered by the target, the share related to each respective GHG emission Scope and which GHGs are covered. The undertaking shall explain how the consistency of these targets with its GHG inventory boundaries is ensured (as required by Disclosure Requirement E1-6). The GHG emission reduction targets shall be gross targets, meaning that the undertaking shall not include GHG removals, carbon credits or avoided emissions as a means of achieving the GHG emission reduction targets;
(c) the undertaking shall disclose its current base year and baseline value, and from 2030 onwards, update the base year for its GHG emission reduction targets after every fiveyear period thereafter. The undertaking may disclose the past progress made in meeting its targets before its current base year provided that this information is consistent with the requirements of this Standard;
(d) GHG emission reduction targets shall at least include target values for the year 2030 and, if available, for the year 2050. From 2030, target values shall be set after every 5- year period thereafter;
(e) the undertaking shall state whether the GHG emission reduction targets are science-based and compatible with limiting global warming to 1.5°C. The undertaking shall state which framework and methodology has been used to determine these targets including whether they are derived using a sectoral decarbonisation pathway and what the underlying climate and policy scenarios are and whether the targets have been externally assured. As part of the critical assumptions for setting GHG emission reduction targets, the undertaking shall briefly explain how it has considered future developments (e.g., changes in sales volumes, shifts in customer preferences and demand, regulatory factors, and new technologies) and how these will potentially impact both its GHG emissions and emissions reductions; and
(f) the undertaking shall describe the expected decarbonisation levers and their overall quantitative contributions to achieve the GHG emission reduction targets (e.g., energy or material efficiency and consumption reduction, fuel switching, use of renewable energy, phase out or substitution of product and process).","ESRS E1 Metrics and Targets 33","For the disclosure required by paragraph 30, the undertaking shall disclose whether and how it has set GHG emissions reduction targets and/or any other targets to manage material climate-related impacts, risks and opportunities, for example, renewable energy deployment, energy efficiency, climate change adaptation, and physical or transition risk mitigation.",0.365767812413726
"ESRS E1","ESRS E1 Metrics and Targets 33","For the disclosure required by paragraph 30, the undertaking shall disclose whether and how it has set GHG emissions reduction targets and/or any other targets to manage material climate-related impacts, risks and opportunities, for example, renewable energy deployment, energy efficiency, climate change adaptation, and physical or transition risk mitigation.","ESRS E1 Metrics and Targets 34","If the undertaking has set GHG emission reduction targets, ESRS 2 MDR-T and the following requirements shall apply:
(a) GHG emission reduction targets shall be disclosed in absolute value (either in tonnes of CO2eq or as a percentage of the emissions of a base year) and, where relevant, in intensity value;
(b) GHG emission reduction targets shall be disclosed for Scope 1, 2, and 3 GHG emissions, either separately or combined. The undertaking shall specify, in case of combined GHG emission reduction targets, which GHG emission Scopes (1, 2 and/or 3) are covered by the target, the share related to each respective GHG emission Scope and which GHGs are covered. The undertaking shall explain how the consistency of these targets with its GHG inventory boundaries is ensured (as required by Disclosure Requirement E1-6). The GHG emission reduction targets shall be gross targets, meaning that the undertaking shall not include GHG removals, carbon credits or avoided emissions as a means of achieving the GHG emission reduction targets;
(c) the undertaking shall disclose its current base year and baseline value, and from 2030 onwards, update the base year for its GHG emission reduction targets after every fiveyear period thereafter. The undertaking may disclose the past progress made in meeting its targets before its current base year provided that this information is consistent with the requirements of this Standard;
(d) GHG emission reduction targets shall at least include target values for the year 2030 and, if available, for the year 2050. From 2030, target values shall be set after every 5- year period thereafter;
(e) the undertaking shall state whether the GHG emission reduction targets are science-based and compatible with limiting global warming to 1.5°C. The undertaking shall state which framework and methodology has been used to determine these targets including whether they are derived using a sectoral decarbonisation pathway and what the underlying climate and policy scenarios are and whether the targets have been externally assured. As part of the critical assumptions for setting GHG emission reduction targets, the undertaking shall briefly explain how it has considered future developments (e.g., changes in sales volumes, shifts in customer preferences and demand, regulatory factors, and new technologies) and how these will potentially impact both its GHG emissions and emissions reductions; and
(f) the undertaking shall describe the expected decarbonisation levers and their overall quantitative contributions to achieve the GHG emission reduction targets (e.g., energy or material efficiency and consumption reduction, fuel switching, use of renewable energy, phase out or substitution of product and process).",0.365767812413726
"ESRS E1","ESRS E1 Metrics and Targets 60","In the case where the undertaking discloses a net-zero target in addition to the gross GHG emission reduction targets in accordance with Disclosure Requirement E1-4, paragraph 30, it shall explain the scope, methodologies and frameworks applied and how the residual GHG emissions (after approximately 90-95% of GHG emission reduction with the possibility for justified sectoral variations in line with a recognised sectoral decarbonisation pathway) are intended to be neutralised by, for example, GHG removals in its own operations and upstream and donwstream value chain.","ESRS E1 Metrics and Targets 34","If the undertaking has set GHG emission reduction targets, ESRS 2 MDR-T and the following requirements shall apply:
(a) GHG emission reduction targets shall be disclosed in absolute value (either in tonnes of CO2eq or as a percentage of the emissions of a base year) and, where relevant, in intensity value;
(b) GHG emission reduction targets shall be disclosed for Scope 1, 2, and 3 GHG emissions, either separately or combined. The undertaking shall specify, in case of combined GHG emission reduction targets, which GHG emission Scopes (1, 2 and/or 3) are covered by the target, the share related to each respective GHG emission Scope and which GHGs are covered. The undertaking shall explain how the consistency of these targets with its GHG inventory boundaries is ensured (as required by Disclosure Requirement E1-6). The GHG emission reduction targets shall be gross targets, meaning that the undertaking shall not include GHG removals, carbon credits or avoided emissions as a means of achieving the GHG emission reduction targets;
(c) the undertaking shall disclose its current base year and baseline value, and from 2030 onwards, update the base year for its GHG emission reduction targets after every fiveyear period thereafter. The undertaking may disclose the past progress made in meeting its targets before its current base year provided that this information is consistent with the requirements of this Standard;
(d) GHG emission reduction targets shall at least include target values for the year 2030 and, if available, for the year 2050. From 2030, target values shall be set after every 5- year period thereafter;
(e) the undertaking shall state whether the GHG emission reduction targets are science-based and compatible with limiting global warming to 1.5°C. The undertaking shall state which framework and methodology has been used to determine these targets including whether they are derived using a sectoral decarbonisation pathway and what the underlying climate and policy scenarios are and whether the targets have been externally assured. As part of the critical assumptions for setting GHG emission reduction targets, the undertaking shall briefly explain how it has considered future developments (e.g., changes in sales volumes, shifts in customer preferences and demand, regulatory factors, and new technologies) and how these will potentially impact both its GHG emissions and emissions reductions; and
(f) the undertaking shall describe the expected decarbonisation levers and their overall quantitative contributions to achieve the GHG emission reduction targets (e.g., energy or material efficiency and consumption reduction, fuel switching, use of renewable energy, phase out or substitution of product and process).",0.482530877087372
"ESRS E1","ESRS E1 Metrics and Targets 61","In the case where the undertaking may have made public claims of GHG neutrality that involve the use of carbon credits, it shall explain:
(a) whether and how these claims are accompanied by GHG emission reduction targets as required by Disclosure requirement ESRS E1-4;
(b) whether and how these claims and the reliance on carbon credits neither impede nor reduce the achievement of its GHG emission reduction targets47, or, if applicable, its net zero target; and
(c) the credibility and integrity of the carbon credits used, including by reference to recognised quality standards.","ESRS E1 Metrics and Targets 34","If the undertaking has set GHG emission reduction targets, ESRS 2 MDR-T and the following requirements shall apply:
(a) GHG emission reduction targets shall be disclosed in absolute value (either in tonnes of CO2eq or as a percentage of the emissions of a base year) and, where relevant, in intensity value;
(b) GHG emission reduction targets shall be disclosed for Scope 1, 2, and 3 GHG emissions, either separately or combined. The undertaking shall specify, in case of combined GHG emission reduction targets, which GHG emission Scopes (1, 2 and/or 3) are covered by the target, the share related to each respective GHG emission Scope and which GHGs are covered. The undertaking shall explain how the consistency of these targets with its GHG inventory boundaries is ensured (as required by Disclosure Requirement E1-6). The GHG emission reduction targets shall be gross targets, meaning that the undertaking shall not include GHG removals, carbon credits or avoided emissions as a means of achieving the GHG emission reduction targets;
(c) the undertaking shall disclose its current base year and baseline value, and from 2030 onwards, update the base year for its GHG emission reduction targets after every fiveyear period thereafter. The undertaking may disclose the past progress made in meeting its targets before its current base year provided that this information is consistent with the requirements of this Standard;
(d) GHG emission reduction targets shall at least include target values for the year 2030 and, if available, for the year 2050. From 2030, target values shall be set after every 5- year period thereafter;
(e) the undertaking shall state whether the GHG emission reduction targets are science-based and compatible with limiting global warming to 1.5°C. The undertaking shall state which framework and methodology has been used to determine these targets including whether they are derived using a sectoral decarbonisation pathway and what the underlying climate and policy scenarios are and whether the targets have been externally assured. As part of the critical assumptions for setting GHG emission reduction targets, the undertaking shall briefly explain how it has considered future developments (e.g., changes in sales volumes, shifts in customer preferences and demand, regulatory factors, and new technologies) and how these will potentially impact both its GHG emissions and emissions reductions; and
(f) the undertaking shall describe the expected decarbonisation levers and their overall quantitative contributions to achieve the GHG emission reduction targets (e.g., energy or material efficiency and consumption reduction, fuel switching, use of renewable energy, phase out or substitution of product and process).",0.382758101886876
"ESRS E1","ESRS E1 Metrics and Targets 37","The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
(a) total energy consumption from fossil sources;
(b) total energy consumption from nuclear sources;
(c) total energy consumption from renewable sources disaggregated by:
     (ci) fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources, etc.;
     (cii) consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and
     (ciii) consumption of self-generated non-fuel renewable energy.","ESRS E1 Metrics and Targets 35","The undertaking shall provide information on its energy consumption and mix.",0.358638832603923
"ESRS E1","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.","ESRS E1 Metrics and Targets 35","The undertaking shall provide information on its energy consumption and mix.",0.441268943740796
"ESRS E1","ESRS E1 Metrics and Targets 35","The undertaking shall provide information on its energy consumption and mix.","ESRS E1 Metrics and Targets 37","The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
(a) total energy consumption from fossil sources;
(b) total energy consumption from nuclear sources;
(c) total energy consumption from renewable sources disaggregated by:
     (ci) fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources, etc.;
     (cii) consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and
     (ciii) consumption of self-generated non-fuel renewable energy.",0.358638832603923
"ESRS E1","ESRS E1 Metrics and Targets 38","The undertaking with operations in high climate impact sectors shall further disaggregate their total energy consumption from fossil sources by:
(a) fuel consumption from coal and coal products;
(b) fuel consumption from crude oil and petroleum products;
(c) fuel consumption from natural gas;
(d) fuel consumption from other fossil sources;
(e) consumption of purchased or acquired electricity, heat, steam, or cooling from fossil sources;","ESRS E1 Metrics and Targets 37","The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
(a) total energy consumption from fossil sources;
(b) total energy consumption from nuclear sources;
(c) total energy consumption from renewable sources disaggregated by:
     (ci) fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources, etc.;
     (cii) consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and
     (ciii) consumption of self-generated non-fuel renewable energy.",0.518244839220982
"ESRS E1","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.","ESRS E1 Metrics and Targets 37","The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
(a) total energy consumption from fossil sources;
(b) total energy consumption from nuclear sources;
(c) total energy consumption from renewable sources disaggregated by:
     (ci) fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources, etc.;
     (cii) consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and
     (ciii) consumption of self-generated non-fuel renewable energy.",0.36716546384669
"ESRS E1","ESRS E1 Metrics and Targets 37","The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
(a) total energy consumption from fossil sources;
(b) total energy consumption from nuclear sources;
(c) total energy consumption from renewable sources disaggregated by:
     (ci) fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources, etc.;
     (cii) consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and
     (ciii) consumption of self-generated non-fuel renewable energy.","ESRS E1 Metrics and Targets 38","The undertaking with operations in high climate impact sectors shall further disaggregate their total energy consumption from fossil sources by:
(a) fuel consumption from coal and coal products;
(b) fuel consumption from crude oil and petroleum products;
(c) fuel consumption from natural gas;
(d) fuel consumption from other fossil sources;
(e) consumption of purchased or acquired electricity, heat, steam, or cooling from fossil sources;",0.518244839220982
"ESRS E1","ESRS E1 Metrics and Targets 35","The undertaking shall provide information on its energy consumption and mix.","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.",0.441268943740796
"ESRS E1","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.",0.805943311520407
"ESRS E1","ESRS E1 Metrics and Targets 42","The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.",0.41144212445519
"ESRS E1","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.",0.404480610103334
"ESRS E1","ESRS E1 Metrics and Targets 53","The undertaking shall disclose its GHG emissions intensity (total GHG emissions per net revenue).","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.",0.365669649441521
"ESRS E1","ESRS E1 Metrics and Targets 37","The disclosure required by paragraph 35 shall include the total energy consumption in MWh related to own operations disaggregated by:
(a) total energy consumption from fossil sources;
(b) total energy consumption from nuclear sources;
(c) total energy consumption from renewable sources disaggregated by:
     (ci) fuel consumption for renewable sources including biomass (also comprising industrial and municipal waste of biologic origin), biofuels, biogas, hydrogen from renewable sources, etc.;
     (cii) consumption of purchased or acquired electricity, heat, steam, and cooling from renewable sources; and
     (ciii) consumption of self-generated non-fuel renewable energy.","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.",0.36716546384669
"ESRS E1","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.",0.805943311520407
"ESRS E1","ESRS E1 Metrics and Targets 42","The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.",0.466936391188355
"ESRS E1","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.",0.444541249359061
"ESRS E1","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.","ESRS E1 Metrics and Targets 42","The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph",0.41144212445519
"ESRS E1","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.","ESRS E1 Metrics and Targets 42","The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph",0.466936391188355
"ESRS E1","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).","ESRS E1 Metrics and Targets 42","The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph",0.41564985556008
"ESRS E1","ESRS E1 Metrics and Targets 40","The undertaking shall provide information on the energy intensity (total energy consumption per net revenue) associated with activities in high climate impact sectors.","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).",0.404480610103334
"ESRS E1","ESRS E1 Metrics and Targets 41","The disclosure on energy intensity required by paragraph 40 shall only be derived from the total energy consumption and net revenue from activities in high climate impact sectors.","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).",0.444541249359061
"ESRS E1","ESRS E1 Metrics and Targets 42","The undertaking shall specify the high climate impact sectors that are used to determine the energy intensity required by paragraph","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).",0.41564985556008
"ESRS E1","ESRS E1 Metrics and Targets 55","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amounts (the denominator in the calculation of the GHG emissions intensity required by paragraph 53).","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).",0.831499088874776
"ESRS E1","ESRS E1 Metrics and Targets 68","The undertaking shall disclose reconciliations to the relevant line items or notes in the financial statements of the following:
(a) significant amounts of the assets and net revenue at material physical risk (as required by paragraph 66);
(b) significant amounts of the assets, liabilities, and net revenue at material transition risk (as required by paragraph 67).","ESRS E1 Metrics and Targets 43","The undertaking shall disclose the reconciliation to the relevant line item or notes in the financial statements of the net revenue amount from activities in high climate impact sectors (the denominator in the calculation of the energy intensity required by paragraph).",0.358762061611259
"TCFD","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.435128635410167
"ESRS E1","ESRS E1 Metrics and Targets 45","The objective of the Disclosure Requirement in paragraph 44 in respect of:
(a) gross Scope 1 GHG emissions as required by paragraph 44 (a) is to provide an understanding of the direct impacts of the undertaking on climate change and the proportion of its total GHG emissions that are regulated under emission trading schemes.
(b) gross Scope 2 GHG emissions as required by paragraph 44 (b) is to provide an understanding of the indirect impacts on climate change caused by the undertaking’s consumed energy whether externally purchased or acquired
(c) gross Scope 3 GHG emissions as required by paragraph 44 (c) is to provide an understanding of the GHG emissions that occur in the undertaking’s upstream and downstream value chain beyond its Scope 1 and 2 GHG emissions. For many undertakings, Scope 3 GHG emissions may be the main component of their GHG inventory and are an important driver of the undertaking’s transition risks.
(d) total GHG emissions as required by paragraph 44 (d) is to provide an overall understanding of the undertaking’s GHG emissions and whether they occur from its own operations or the usptream and donwstream value chain. This disclosure is a prerequisite for measuring progress towards reducing GHG emissions in accordance with the undertaking’s climate-related targets and EU policy goals.","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.487243700271079
"ESRS E1","ESRS E1 Metrics and Targets 48","The disclosure on gross Scope 1 GHG emissions required by paragraph 44 (a) shall include:
(a) the gross Scope 1 GHG emissions in metric tonnes of CO2eq; and
(b) the percentage of Scope 1 GHG emissions from regulated emission trading schemes.","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.631751508038489
"ESRS E1","ESRS E1 Metrics and Targets 49","The disclosure on gross Scope 2 GHG emissions required by paragraph 44 (b) shall include:
(a) the gross location-based Scope 2 GHG emissions in metric tonnes of CO2eq; and
(b) the gross market-based Scope 2 GHG emissions in metric tonnes of CO2eq.","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.710294272124523
"ESRS E1","ESRS E1 Metrics and Targets 51","The disclosure of gross Scope 3 GHG emissions required by paragraph 44 (c) shall include GHG emissions in metric tonnes of CO2eq from each significant Scope 3 category (i.e. each Scope 3 category that is a priority for the undertaking) .","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.532896312093425
"ESRS E1","ESRS E1 Metrics and Targets 52","The disclosure of total GHG emissions required by paragraph 44 (d) shall be the sum of Scope 1, 2 and 3 GHG emissions required by paragraphs 44 (a) to (c). The total GHG emissions shall be disclosed with a disaggregation that makes a distinction of:
(a) the total GHG emissions derived from the underlying Scope 2 GHG emissions being measured using the location-based method; and
(b) the total GHG emissions derived from the underlying Scope 2 GHG emissions being measured using the market-based method.","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.439933813915033
"ESRS E1","ESRS E1 Metrics and Targets 53","The undertaking shall disclose its GHG emissions intensity (total GHG emissions per net revenue).","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.351669608786836
"ESRS E1","ESRS E1 Metrics and Targets 54","The disclosure on GHG intensity required by paragraph 53 shall provide the total GHG emissions in metric tonnes of CO2eq (required by paragraph 44 (d)) per net revenue.","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.",0.371630679741798
"TCFD","TCFD Metrics and Targets B","Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.","ESRS E1 Metrics and Targets 45","The objective of the Disclosure Requirement in paragraph 44 in respect of:
(a) gross Scope 1 GHG emissions as required by paragraph 44 (a) is to provide an understanding of the direct impacts of the undertaking on climate change and the proportion of its total GHG emissions that are regulated under emission trading schemes.
(b) gross Scope 2 GHG emissions as required by paragraph 44 (b) is to provide an understanding of the indirect impacts on climate change caused by the undertaking’s consumed energy whether externally purchased or acquired
(c) gross Scope 3 GHG emissions as required by paragraph 44 (c) is to provide an understanding of the GHG emissions that occur in the undertaking’s upstream and downstream value chain beyond its Scope 1 and 2 GHG emissions. For many undertakings, Scope 3 GHG emissions may be the main component of their GHG inventory and are an important driver of the undertaking’s transition risks.
(d) total GHG emissions as required by paragraph 44 (d) is to provide an overall understanding of the undertaking’s GHG emissions and whether they occur from its own operations or the usptream and donwstream value chain. This disclosure is a prerequisite for measuring progress towards reducing GHG emissions in accordance with the undertaking’s climate-related targets and EU policy goals.",0.394606320282316
"ESRS E1","ESRS E1 Metrics and Targets 44","The undertaking shall disclose in metric tonnes of CO2eq its:
(a) gross Scope 1 GHG emissions;
(b) gross Scope 2 GHG emissions;
(c) gross Scope 3 GHG emissions; and
(d) total GHG emissions.","ESRS E1 Metrics and Targets 45","The objective of the Disclosure Requirement in paragraph 44 in respect of:
(a) gross Scope 1 GHG emissions as required by paragraph 44 (a) is to provide an understanding of the direct impacts of the undertaking on climate change and the proportion of its total GHG emissions that are regulated under emission trading schemes.
(b) gross Scope 2 GHG emissions as required by paragraph 44 (b) is to provide an understanding of the indirect impacts on climate change caused by the undertaking’s consumed energy whether externally purchased or acquired
(c) gross Scope 3 GHG emissions as required by paragraph 44 (c) is to provide an understanding of the GHG emissions that occur in the undertaking’s upstream and downstream value chain beyond its Scope 1 and 2 GHG emissions. For many undertakings, Scope 3 GHG emissions may be the main component of their GHG inventory and are an important driver of the undertaking’s transition risks.
(d) total GHG emissions as required by paragraph 44 (d) is to provide an overall understanding of the undertaking’s GHG emissions and whether they occur from its own operations or the usptream and donwstream value chain. This disclosure is a prerequisite for measuring progress towards reducing GHG emissions in accordance with the undertaking’s climate-related targets and EU policy goals.",0.487243700271079
"ESRS E1","ESRS E1 Metrics and Targets 48","The disclosure on gross Scope 1 GHG emissions required by paragraph 44 (a) shall include:
(a) the gross Scope 1 GHG emissions in metric tonnes of CO2eq; and
(b) the percentage of Scope 1 GHG emissions from regulated emission trading schemes.","ESRS E1 Metrics and Targets 45","The objective of the Disclosure Requirement in paragraph 44 in respect of:
(a) gross Scope 1 GHG emissions as required by paragraph 44 (a) is to provide an understanding of the direct impacts of the undertaking on climate change and the proportion of its total GHG emissions that are regulated under emission trading schemes.
(b) gross Scope 2 GHG emissions as required by paragraph 44 (b) is to provide an understanding of the indirect impacts on climate change caused by the undertaking’s consumed energy whether externally purchased or acquired
(c) gross Scope 3 GHG emissions as required by paragraph 44 (c) is to provide an understanding of the GHG emissions that occur in the undertaking’s upstream and downstream value chain beyond its Scope 1 and 2 GHG emissions. For many undertakings, Scope 3 GHG emissions may be the main component of their GHG inventory and are an important driver of the undertaking’s transition risks.
(d) total GHG emissions as required by paragraph 44 (d) is to provide an overall understanding of the undertaking’s GHG emissions and whether they occur from its own operations or the usptream and donwstream value chain. This disclosure is a prerequisite for measuring progress towards reducing GHG emissions in accordance with the undertaking’s climate-related targets and EU policy goals.",0.59091310533112
